metric_id,metric_name,description
1,'PostgreSQL ping',
2,'PostgreSQL service uptime',
3,'PostgreSQL cache hit ratio',
13,'PostgreSQL count files in archive_status need to archive',
14,'PostgreSQL size of files need to archive',
15,'PostgreSQL count archived files',
16,'PostgreSQL count attempts to archive files',
17,'PostgreSQL checkpoint by timeout (in hour)',
18,'PostgreSQL checkpoint by wal (in hour)',
19,'PostgreSQL checkpoint write time',
20,'PostgreSQL checkpoint sync time',
27,'PostgreSQL count of autovacuum workers',
29,'PostgreSQL blocks hit',
30,'PostgreSQL blocks read',
31,'PostgreSQL event conflicts',
32,'PostgreSQL event deadlocks',
34,'PostgreSQL temp bytes written',
35,'PostgreSQL temp files created',
36,'PostgreSQL tuples deleted',
37,'PostgreSQL tuples fetched',
38,'PostgreSQL tuples inserted',
39,'PostgreSQL tuples returned',
40,'PostgreSQL tuples updated',
42,'PostgreSQL wal write speed',
43,'PostgreSQL count of xlog files',
44,'PostgreSQL statements read bytes/s',
45,'PostgreSQL statements write bytes/s',
46,'PostgreSQL statements dirty bytes/s',
47,'PostgreSQL statements read io time',
48,'PostgreSQL statements write io time',
49,'PostgreSQL statements other (mostly cpu) time',
50,'PostgreSQL locks Read only queries',
51,'PostgreSQL locks SELECT FOR SHARE and SELECT FOR UPDATE',
52,'PostgreSQL locks Write queries',
53,'PostgreSQL locks VACUUM, ANALYZE, CREATE INDEX CONCURRENTLY',
54,'PostgreSQL locks CREATE INDEX',
55,'PostgreSQL locks Locks from application',
56,'PostgreSQL locks Locks from application or some operation on system catalogs',
57,'PostgreSQL locks ALTER TABLE, DROP TABLE, TRUNCATE, REINDEX, CLUSTER, VACUUM FULL, LOCK TABLE',
58,'PostgreSQL oldest transaction running time ',
59,'PostgreSQL age of oldest xid ',
60,'PostgreSQL waits Lightweight locks',
61,'PostgreSQL waits Heavyweight locks',
62,'PostgreSQL waits Buffer locks',
63,'PostgreSQL waits lock on a relation',
64,'PostgreSQL waits extend a relation',
65,'PostgreSQL waits lock on a tuple',
66,'PostgreSQL waits transaction to finish',
67,'PostgreSQL waits virtual xid lock',
68,'PostgreSQL waits speculative insertion lock',
69,'PostgreSQL waits lock on database object',
70,'PostgreSQL waits userlock',
71,'PostgreSQL waits advisory user lock',
72,'PostgreSQL waits XID access',
73,'PostgreSQL waits WAL access',
74,'PostgreSQL waits CLOG access',
75,'PostgreSQL waits Replication Locks',
76,'PostgreSQL waits Buffer operations',
77,'PostgreSQL waits Other operations',
78,'Database {#DATABASE} size',
80,'Max age (datfrozenxid) in {#DATABASE}',
